trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.5, 'e': 0.33621649370673334}",25,0,-46.81347258208723,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
111,False,"{'a': 0.5, 'e': 0.33287108369807955}",20,0,-10.429808802988132,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.5, 'e': 0.32955896107518906}",30,21,16.768821706452812,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.32627979462303947}",25,0,-7.077453643772563,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
114,False,"{'a': 0.5, 'e': 0.3230332564222529}",20,13,0.3171876023608191,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.31981902181630384}",20,2,9.472604712418255,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.31663676937905316}",20,7,11.900286489497784,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.3134861808826053}",20,12,3.5643498086242023,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.31036694126548503}",25,0,-17.100646143791117,"{0: 21, 1: 1, 2: 2, 3: 1, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.30727873860113125}",30,12,-22.6727500495943,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.5, 'e': 0.3042212640667041}",25,7,22.494639586679746,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
